# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
2305	272	2147	 2190	 2765	 2121
993	122	891	 870	 1172	 1039
918	104	835	 813	 1047	 980
827	42	817	 802	 868	 824
825	39	808	 797	 867	 830
831	27	820	 792	 863	 849
823	29	814	 792	 841	 846
837	42	820	 797	 823	 908
833	48	801	 811	 822	 900
823	42	807	 797	 812	 878
824	38	806	 794	 819	 878
829	40	810	 802	 816	 889
825	35	808	 793	 828	 872
823	37	804	 789	 828	 872
822	37	798	 798	 806	 886
837	70	804	 794	 804	 948
830	59	806	 804	 799	 914
827	34	807	 811	 815	 876
827	40	812	 800	 824	 874
826	46	805	 811	 813	 878
816	34	804	 810	 801	 851
817	18	809	 802	 808	 849
826	37	821	 815	 825	 846
807	21	799	 800	 815	 815
808	35	804	 801	 807	 823
811	13	809	 796	 807	 832
806	10	799	 795	 807	 823
808	30	805	 798	 806	 825
803	29	797	 796	 809	 812
801	28	797	 795	 806	 808
801	29	798	 800	 795	 813
799	10	796	 790	 793	 817
807	5	798	 810	 806	 814
816	36	803	 809	 825	 830
804	29	800	 794	 805	 819
809	36	805	 797	 810	 827
809	23	808	 799	 800	 830
800	32	798	 790	 787	 827
804	24	786	 797	 808	 826
804	17	798	 791	 793	 834
796	33	802	 773	 790	 821
786	28	791	 787	 786	 782
790	29	788	 792	 801	 781
781	29	795	 768	 787	 776
784	21	786	 773	 795	 783
791	10	786	 801	 800	 777
785	28	788	 776	 794	 784
786	28	791	 778	 793	 784
779	21	777	 769	 794	 777
782	37	774	 765	 802	 790
788	30	781	 775	 790	 808
787	38	778	 769	 815	 789
817	50	776	 799	 904	 789
797	32	804	 774	 817	 795
791	33	821	 770	 789	 786
788	14	812	 776	 789	 775
789	39	819	 772	 794	 774
786	39	813	 762	 793	 779
798	10	810	 798	 802	 782
786	12	798	 766	 795	 785
785	36	802	 766	 791	 784
798	24	805	 775	 803	 810
792	30	792	 773	 799	 806
785	21	796	 775	 784	 786
790	15	814	 775	 792	 779
788	31	811	 770	 789	 784
791	10	797	 773	 802	 792
787	10	797	 778	 798	 775
788	37	809	 769	 787	 790
805	34	810	 835	 789	 788
805	32	804	 832	 791	 795
809	13	808	 831	 802	 795
801	8	815	 795	 798	 796
814	49	813	 794	 873	 779
799	29	814	 795	 801	 788
787	28	781	 794	 788	 787
789	6	793	 793	 792	 778
792	35	788	 803	 798	 782
798	29	790	 808	 794	 802
797	5	799	 803	 797	 789
787	24	804	 794	 784	 767
785	35	786	 795	 788	 774
786	35	784	 799	 786	 778
801	28	801	 805	 808	 792
805	6	804	 815	 802	 799
793	29	794	 806	 787	 787
792	23	786	 800	 807	 776
785	34	793	 778	 782	 790
782	29	791	 774	 792	 773
796	35	807	 797	 799	 784
790	29	790	 778	 804	 790
784	21	794	 780	 788	 775
777	12	777	 761	 795	 775
786	22	799	 773	 793	 780
791	23	782	 774	 832	 776
799	21	797	 802	 811	 787
794	3	790	 797	 797	 792
823	48	906	 797	 807	 782
852	74	950	 882	 797	 781
858	83	781	 954	 775	 923
842	50	818	 805	 816	 929
Total runtime = 0.111134s

# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 2048 	 2048 	 100 	 10

# Mean 	 Sdev 	 Rank 0
17384676	64737	17301551	 17483246	 17373905	 17380002
38029	2050	41479	 37241	 36188	 37211
45254	7484	46073	 38256	 57150	 39540
66162	11883	53060	 61195	 65078	 85318
60279	9558	43808	 64351	 66099	 66861
43351	11856	36845	 46353	 29216	 60990
62712	2644	66200	 59772	 64260	 60619
62114	10987	60231	 80596	 53786	 53843
48498	3851	50137	 51495	 41895	 50467
45585	1631	45159	 43374	 45951	 47859
43286	2682	45165	 46643	 40293	 41043
39084	4232	43731	 39398	 32278	 40932
37407	5022	33291	 32815	 38242	 45282
40418	3317	45873	 37757	 37755	 40288
52116	3056	53380	 55447	 47181	 52458
36920	6306	37202	 26539	 41894	 42048
41262	2835	37293	 43895	 44001	 39859
86244	82791	32286	 62779	 227324	 22587
34368	7058	25161	 29940	 42104	 40270
42607	6601	47617	 48207	 31760	 42846
36058	6823	39372	 38384	 42012	 24464
43167	5462	48078	 40021	 35819	 48752
49772	2479	51302	 45604	 51928	 50254
49292	7297	55234	 56726	 38560	 46651
33465	8905	23385	 46813	 27829	 35834
51332	1046	50451	 50329	 51772	 52779
39563	2617	40898	 39089	 42670	 35595
42345	10432	28677	 54219	 50512	 35975
43760	1043	42695	 45463	 43562	 43321
53939	4318	46764	 54438	 56730	 57824
44931	12310	31928	 34029	 52860	 60908
32199	7907	39171	 40589	 27080	 21956
45988	10217	55107	 33012	 39020	 56816
38753	6351	38831	 44921	 42832	 28429
55958	1935	55513	 57819	 53003	 57499
39287	1290	40096	 38149	 37939	 40965
35894	1245	34635	 37622	 34787	 36532
30912	5068	35642	 22600	 31165	 34243
43105	3484	42323	 38611	 48349	 43140
48718	4464	49061	 50992	 53368	 41451
42928	4189	47013	 43639	 35988	 45075
