
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
15823	 1453	 18287	 14512	 15241	 15252
16167	 1504	 18761	 15199	 15404	 15306
16606	 1454	 19116	 15816	 15745	 15749
16242	 1742	 19249	 15121	 15313	 15287
15931	 1737	 18929	 15004	 14903	 14891
15786	 1698	 18697	 14504	 14978	 14968
16272	 1947	 19618	 14832	 15343	 15298
15765	 1519	 18388	 14875	 14917	 14882
16251	 1780	 19265	 14647	 15566	 15527
16427	 1756	 19346	 14645	 15876	 15841
15936	 1334	 18246	 15112	 15199	 15187
16814	 1479	 19359	 16095	 15910	 15895
16110	 1543	 18783	 15160	 15275	 15222
16269	 1849	 19433	 15620	 15026	 15000
16340	 2014	 19822	 15401	 15088	 15049
15966	 1768	 18985	 14490	 15234	 15156
16010	 1626	 18823	 15118	 15072	 15028
15880	 1803	 18972	 14480	 15057	 15013
16394	 1711	 19199	 14589	 15899	 15892
16153	 1692	 19070	 15072	 15255	 15218
17086	 1801	 20206	 16039	 16058	 16041
16524	 1994	 19968	 15174	 15495	 15460
15932	 1747	 18942	 15084	 14918	 14787
16140	 1584	 18862	 15445	 15136	 15120
16104	 1868	 19299	 14594	 15265	 15260
15917	 1667	 18795	 14781	 15158	 14934
16136	 1799	 19212	 14638	 15342	 15352
16659	 2352	 20571	 14299	 15877	 15891
16658	 1714	 19627	 15648	 15683	 15674
16444	 1674	 19326	 15653	 15412	 15388
16920	 1922	 20038	 14797	 16415	 16432
16196	 1627	 18983	 15608	 15118	 15077
16389	 1964	 19774	 15491	 14991	 15301
16562	 2247	 20452	 15387	 15231	 15178
17501	 4211	 24781	 15462	 15025	 14737
16113	 1514	 18701	 14896	 15438	 15419
16687	 2043	 20085	 14690	 16239	 15736
