# --- Read time in mikroseconds ---
# MPI_Comm_size: 2
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-2nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 1 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
3732	184	3916	 3548
3723	182	3896	 3551
3674	180	3844	 3505
3637	187	3815	 3460
3678	198	3868	 3489
3681	148	3817	 3546
3651	171	3812	 3491
3673	169	3842	 3504
3689	156	3834	 3545
3698	148	3834	 3563
3638	177	3805	 3472
3719	136	3842	 3597
Total runtime = 0.457588s

# File Size:
-rw-r--r--. 1 kduwe iks 47K Aug 18 20:25 /home/urz/kduwe/ht-output/heat-bp3-2nodes.bp
total 13G
drwxr-xr-x. 2 kduwe iks    3 Aug 18 20:25 .
drwxr-xr-x. 6 kduwe iks    7 Aug 18 20:25 ..
-rw-r--r--. 1 kduwe iks 6.4G Aug 18 20:25 heat-bp3-2nodes.bp.0
-rw-r--r--. 1 kduwe iks 6.4G Aug 18 20:25 heat-bp3-2nodes.bp.1
-rw-r--r--. 1 kduwe iks  747 Aug 18 20:25 profiling.json
# --- Read time in mikroseconds ---
# MPI_Comm_size: 6
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-2nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
3 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
3634	602	4287	 2822	 4241	 4143	 3157	 3155
2346	537	3138	 1878	 1996	 3066	 1994	 2005
2522	837	3155	 1458	 3120	 3529	 2485	 1388
2359	689	3148	 1459	 3074	 1840	 2877	 1758
2342	679	3092	 1414	 3031	 1802	 2895	 1819
2433	793	3025	 1403	 2754	 1418	 3532	 2471
2208	614	2744	 1216	 2720	 1831	 2880	 1861
2171	604	2744	 1217	 2678	 1843	 1740	 2805
2230	806	2721	 1209	 2700	 2291	 3320	 1144
2063	601	2747	 1212	 2714	 1659	 1585	 2462
2211	510	2768	 1236	 2748	 2217	 2110	 2188
2186	501	2750	 1230	 2690	 2200	 2111	 2138
2149	532	2166	 1212	 3046	 2200	 2131	 2142
2010	632	2168	 1205	 3057	 1507	 2484	 1643
2037	607	2580	 1703	 1662	 1178	 2990	 2113
2002	576	2520	 1666	 1632	 2894	 1193	 2111
2043	604	3051	 2157	 1209	 1691	 2480	 1675
2034	622	3087	 2174	 1225	 1644	 1606	 2471
2135	669	2584	 2565	 1299	 1223	 3011	 2129
1937	557	2542	 1649	 1700	 1959	 1070	 2706
1873	391	2545	 1673	 1686	 2269	 1526	 1541
1972	527	2593	 1320	 2560	 1540	 1526	 2298
1887	404	2586	 1688	 1655	 1584	 1516	 2294
2019	647	2576	 2545	 1303	 2712	 1920	 1060
1884	400	2556	 1681	 1696	 1518	 2301	 1557
1967	568	2580	 1677	 1691	 2775	 1109	 1974
3565	1216	4761	 3476	 4729	 1159	 3268	 3999
1918	392	2587	 1703	 1707	 2323	 1599	 1593
1888	389	2558	 1680	 1693	 1567	 1552	 2281
1978	558	2602	 1691	 1705	 1967	 1139	 2765
1883	408	2576	 1680	 1662	 2310	 1557	 1514
1960	513	2574	 2530	 1297	 1561	 1535	 2265
2018	305	2560	 1665	 1688	 2033	 2018	 2148
2049	307	2587	 1695	 1685	 2093	 2168	 2067
1996	303	2222	 2189	 2145	 1582	 1565	 2275
2046	309	2580	 1681	 1672	 2116	 2120	 2108
1938	550	2552	 1680	 1674	 1922	 2705	 1099
1971	565	2589	 1703	 1670	 1978	 1117	 2770
1885	402	2581	 1661	 1661	 2292	 1571	 1546
2016	474	2221	 2185	 2149	 2620	 1087	 1834
2026	469	2225	 2188	 2175	 1856	 1108	 2609
2031	316	2587	 1693	 1656	 2127	 2122	 2006
1867	382	2531	 1672	 1643	 2249	 1577	 1531
1994	465	2222	 2193	 2158	 1811	 1060	 2520
1884	398	2569	 1695	 1681	 2277	 1565	 1522
2255	824	1780	 3499	 1688	 1655	 3330	 1582
2067	309	2567	 1685	 1693	 2166	 2130	 2165
1867	379	2538	 1680	 1642	 1553	 1558	 2231
1892	545	2476	 1592	 1598	 2675	 1921	 1094
1793	355	2318	 1521	 1518	 1591	 1545	 2267
1850	627	2662	 1880	 1111	 2571	 1053	 1824
1783	354	2322	 1542	 1576	 1498	 2233	 1532
1877	532	2388	 1599	 1601	 1913	 1082	 2681
1851	526	2734	 1123	 1940	 1546	 1544	 2224
1837	520	1956	 1136	 2701	 1524	 2211	 1499
1888	660	1963	 2779	 1104	 1843	 1051	 2590
2075	512	2867	 2028	 1121	 2134	 2154	 2151
1867	538	2759	 1954	 1104	 1575	 1548	 2265
1788	342	2319	 1565	 1607	 2210	 1537	 1493
1833	526	2331	 1585	 1615	 1017	 2624	 1830
1937	666	2804	 1990	 1139	 1937	 1086	 2669
1978	285	2329	 1582	 1617	 2122	 2136	 2087
1818	500	2306	 1557	 1590	 1845	 1058	 2557
1803	353	2371	 1586	 1619	 1536	 1498	 2212
1861	524	2786	 1155	 1988	 2119	 1463	 1659
1693	304	2312	 1600	 1592	 1446	 1417	 1793
1706	507	2684	 1929	 1100	 1429	 1416	 1681
1689	320	2365	 1588	 1620	 1444	 1431	 1691
1626	357	2339	 1575	 1569	 1317	 1245	 1713
1554	393	2302	 1585	 1583	 1075	 1186	 1593
1683	640	1932	 2716	 1129	 1418	 2103	 801
1538	493	2388	 1602	 1621	 1682	 1120	 820
1630	496	2321	 1576	 1548	 1403	 2131	 804
1670	573	2116	 2136	 2328	 1578	 1040	 822
1719	365	1439	 1462	 2146	 1562	 2300	 1410
1681	632	1980	 1179	 2817	 973	 1223	 1914
1540	562	1852	 1064	 2585	 983	 1140	 1618
1413	627	1871	 1041	 2603	 980	 1144	 844
1697	626	1931	 1079	 2635	 2140	 1612	 787
1603	593	2487	 1078	 1638	 1420	 2201	 798
1565	564	2405	 1034	 1606	 1425	 2123	 797
1402	527	2389	 1028	 1595	 1562	 1034	 804
1588	567	2438	 1065	 1619	 2112	 1512	 786
1396	500	1984	 1095	 901	 1556	 2049	 794
1506	591	2555	 1666	 878	 1681	 1487	 772
1535	607	2487	 1648	 873	 2038	 1395	 769
1603	639	2583	 1697	 878	 1551	 2131	 778
1433	628	2610	 1715	 922	 1584	 971	 799
