# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp5_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp5-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp5-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
13419	259	13793	 13342	 13385	 13158
15172	2018	13980	 14066	 18665	 13978
14217	1701	13664	 13022	 17124	 13060
13183	480	13981	 12938	 12801	 13014
13047	421	13683	 13021	 12499	 12985
12929	194	13025	 12956	 12665	 13072
13447	1091	15301	 12892	 12545	 13052
13375	964	14998	 13025	 12515	 12964
13496	336	14018	 13305	 13119	 13542
13153	486	13952	 12930	 12680	 13051
12904	263	13140	 12948	 12510	 13020
13065	465	13795	 12959	 12558	 12950
12916	193	13185	 12930	 12637	 12912
13412	1090	15270	 12935	 12570	 12876
13018	305	13304	 13276	 12586	 12907
12877	195	12985	 13062	 12551	 12910
13668	378	14006	 13742	 13050	 13875
14687	1578	15502	 13535	 16839	 12874
14053	1549	13057	 13582	 16689	 12887
13140	483	13344	 13794	 12560	 12864
13683	1305	15922	 13172	 12717	 12922
14205	2045	17706	 13361	 12589	 13167
13035	272	13124	 13184	 12591	 13242
13874	379	14156	 14111	 13261	 13970
13106	477	13783	 13170	 12513	 12961
13144	461	13665	 13272	 12448	 13194
14535	1882	14551	 13647	 12425	 17518
14389	1767	13441	 14247	 12602	 17269
13000	282	13347	 13023	 12587	 13044
13321	757	14589	 13018	 12609	 13069
13336	458	13254	 13357	 12744	 13991
13148	483	13910	 13105	 12572	 13005
13418	962	15030	 13160	 12490	 12992
13571	1118	15460	 13276	 12580	 12968
12916	254	13150	 13056	 12552	 12908
14260	1717	14690	 12992	 12489	 16871
12998	311	13291	 13057	 12498	 13147
13604	495	14394	 13375	 13105	 13544
13015	398	13623	 13009	 12509	 12919
13063	512	13859	 13047	 12436	 12910
12941	293	13250	 13075	 12554	 12888
12838	224	13011	 12957	 12480	 12905
13331	963	14954	 13013	 12450	 12908
13080	444	13367	 13039	 12412	 13505
12920	293	12995	 12987	 12463	 13236
14592	1677	13420	 13828	 17486	 13634
14124	1471	13824	 13134	 16596	 12945
