
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp5_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp5-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
7627	 369	 8002	 7735	 7739	 7034
7023	 333	 7536	 6630	 7021	 6906
7183	 451	 7802	 6599	 7013	 7321
6996	 351	 7466	 6607	 6761	 7153
7011	 408	 7689	 6602	 6918	 6835
6882	 296	 7355	 6607	 6735	 6833
6927	 226	 7266	 6875	 6736	 6834
6944	 307	 7465	 6675	 6779	 6857
6867	 194	 7198	 6710	 6817	 6743
6995	 257	 6967	 6620	 7197	 7199
6671	 209	 6409	 6616	 6716	 6945
6642	 187	 6339	 6687	 6779	 6764
6800	 144	 6606	 6866	 6765	 6964
6625	 190	 6371	 6601	 6747	 6784
6707	 172	 6512	 6582	 6878	 6857
6561	 169	 6392	 6481	 6552	 6820
6588	 189	 6282	 6677	 6646	 6748
6612	 184	 6421	 6440	 6747	 6840
6673	 342	 6887	 6108	 6841	 6859
6483	 241	 6642	 6101	 6487	 6703
6571	 306	 6837	 6084	 6774	 6591
6448	 213	 6706	 6126	 6549	 6411
6396	 73	 6466	 6364	 6411	 6344
6339	 313	 6735	 5895	 6379	 6350
6213	 122	 6359	 6052	 6204	 6238
6694	 270	 6961	 6282	 6781	 6755
6577	 172	 6846	 6383	 6593	 6486
6515	 226	 6574	 6183	 6771	 6534
6945	 232	 6621	 6886	 7191	 7084
6516	 256	 6787	 6232	 6728	 6319
6075	 201	 6326	 5931	 6196	 5848
6070	 209	 6345	 5908	 6179	 5849
6241	 347	 6655	 5938	 6512	 5859
5937	 98	 6049	 5924	 5818	 5958
6166	 299	 6026	 5895	 6106	 6640
6105	 214	 6373	 6079	 5833	 6138
6016	 179	 6222	 5845	 6101	 5899
5999	 229	 6278	 5782	 5779	 6158
5933	 111	 5878	 5847	 6055	 5954
5962	 108	 6047	 5903	 5931	 5970
5974	 96	 6012	 5883	 5968	 6035
5980	 186	 6286	 5966	 5803	 5865
5894	 120	 5984	 5739	 5915	 5940
5926	 160	 6142	 5784	 5959	 5821
6386	 588	 7206	 5786	 6667	 5887
6205	 426	 6807	 5738	 6375	 5902
6035	 176	 6240	 5964	 5842	 6097
6323	 134	 6268	 6191	 6352	 6483
6767	 176	 6507	 6856	 6796	 6911
6146	 176	 5879	 6177	 6188	 6341
6354	 129	 6488	 6327	 6208	 6395
6158	 307	 6631	 6204	 5849	 5949
6260	 209	 6567	 6236	 6162	 6078
5940	 147	 6125	 5765	 6009	 5862
6410	 292	 6621	 5911	 6611	 6497
6165	 194	 5835	 6232	 6260	 6333
6418	 369	 6805	 5917	 6699	 6254
6429	 525	 6865	 5767	 7017	 6067
6119	 316	 6552	 5812	 6278	 5835
6119	 262	 6352	 5830	 6409	 5885
6195	 237	 6426	 5883	 6368	 6106
5949	 135	 6116	 5877	 5884	 5922
5913	 139	 5993	 5745	 6002	 5915
6105	 102	 6121	 6149	 6108	 6045
5780	 63	 5829	 5734	 5772	 5786
5749	 54	 5756	 5738	 5765	 5738
5888	 155	 5924	 5679	 5896	 6055
6322	 181	 6296	 6146	 6606	 6241
6313	 445	 6953	 5805	 6461	 6035
6846	 270	 6607	 6875	 6625	 7277
7073	 313	 6549	 7361	 7130	 7252
6267	 304	 6032	 6449	 5919	 6668
6047	 154	 5932	 6160	 5920	 6179
6062	 155	 6073	 6102	 5820	 6253
6080	 149	 6272	 6131	 5858	 6059
6627	 365	 7052	 6908	 6273	 6277
6154	 207	 6359	 6331	 5938	 5990
6138	 208	 6476	 6099	 6011	 5967
5999	 67	 6025	 5968	 5953	 6051
5926	 91	 5870	 5913	 5916	 6007
6328	 305	 6503	 5826	 6567	 6418
6406	 283	 6601	 5949	 6625	 6451
6244	 326	 6564	 5703	 6411	 6298
6103	 325	 6427	 5685	 6390	 5912
6678	 590	 7180	 5730	 7142	 6662
5934	 156	 6058	 5721	 6046	 5913
5930	 174	 6090	 6003	 5672	 5957
6016	 140	 6061	 5877	 6155	 5974
5876	 141	 5961	 5655	 5985	 5904
5925	 186	 6016	 5616	 6109	 5959
6216	 357	 6636	 5723	 6432	 6075
6480	 182	 6738	 6396	 6448	 6341
7378	 221	 7080	 7612	 7277	 7544
6421	 156	 6182	 6446	 6482	 6575
5903	 66	 5963	 5861	 5887	 5902
5881	 88	 5945	 5833	 5852	 5896
6181	 225	 6483	 5907	 6246	 6090
5900	 78	 6013	 5791	 5894	 5902
5947	 104	 5798	 6092	 5932	 5966
5842	 150	 5910	 5640	 5901	 5920
Total runtime = 2.05754s
# File Size:
total 6.4G
drwxr-xr-x. 2 kduwe iks    8 Aug 17 19:33 .
drwxr-xr-x. 5 kduwe iks    3 Aug 17 19:33 ..
-rw-r--r--. 1 kduwe iks 1.6G Aug 17 19:33 data.0
-rw-r--r--. 1 kduwe iks 1.6G Aug 17 19:33 data.1
-rw-r--r--. 1 kduwe iks 1.6G Aug 17 19:33 data.2
-rw-r--r--. 1 kduwe iks 1.6G Aug 17 19:33 data.3
-rw-r--r--. 1 kduwe iks 134K Aug 17 19:33 md.0
-rw-r--r--. 1 kduwe iks 6.6K Aug 17 19:33 md.idx
-rw-r--r--. 1 kduwe iks  984 Aug 17 19:33 mmd.0
-rw-r--r--. 1 kduwe iks 7.7K Aug 17 19:33 profiling.json

# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp5_sync.xml
