# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp4-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
3430	77	3453	 3396	 3409	 3465
3400	79	3398	 3346	 3421	 3438
3479	84	3383	 3410	 3586	 3537
3407	76	3379	 3347	 3476	 3428
3414	24	3392	 3426	 3449	 3389
3441	64	3480	 3419	 3451	 3416
3484	86	3597	 3397	 3538	 3404
3410	67	3454	 3383	 3371	 3434
3401	86	3431	 3347	 3364	 3465
3411	81	3452	 3341	 3372	 3481
3449	83	3467	 3377	 3491	 3464
3422	81	3458	 3359	 3453	 3421
3447	82	3397	 3441	 3445	 3508
3482	89	3515	 3546	 3405	 3465
3467	41	3438	 3538	 3450	 3442
3456	66	3402	 3485	 3471	 3468
3853	721	5100	 3382	 3438	 3492
4838	852	5670	 5137	 5133	 3413
5222	163	5099	 5130	 5156	 5503
5181	58	5194	 5148	 5160	 5223
5209	90	5233	 5202	 5181	 5223
5237	52	5248	 5248	 5232	 5221
5256	100	5193	 5222	 5236	 5375
5282	101	5198	 5232	 5243	 5455
5284	101	5205	 5225	 5248	 5458
5241	139	5064	 5229	 5215	 5456
5020	468	4230	 5154	 5244	 5452
4653	488	4238	 4289	 4627	 5458
4553	522	4270	 4234	 4255	 5454
4553	175	4591	 4736	 4292	 4595
4259	68	4256	 4230	 4264	 4288
4272	70	4250	 4275	 4252	 4313
4276	77	4223	 4286	 4260	 4337
4285	67	4299	 4229	 4255	 4358
4232	90	4079	 4250	 4298	 4301
4152	196	3829	 4208	 4250	 4322
3983	228	3805	 3814	 3979	 4337
3892	127	3809	 3817	 3829	 4113
3860	59	3837	 3827	 3850	 3927
3857	39	3891	 3829	 3808	 3900
3842	66	3851	 3813	 3827	 3879
3764	136	3530	 3809	 3863	 3854
3595	179	3454	 3498	 3558	 3873
3419	75	3425	 3361	 3371	 3520
3395	22	3426	 3365	 3388	 3401
3380	75	3411	 3342	 3383	 3387
3388	76	3412	 3346	 3387	 3410
3367	43	3378	 3354	 3350	 3387
3379	61	3394	 3343	 3388	 3393
3373	74	3364	 3342	 3397	 3392
3562	191	3739	 3367	 3739	 3406
Total runtime = 0.447513s

# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp4-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 4096 	 4096 	 100 	 10

# Mean 	 Sdev 	 Rank 0
98782	43498	28115	 145283	 103110	 118620
70606	31529	16804	 79975	 94599	 91049
144805	110711	16195	 106825	 135453	 320750
