
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
14289	 1219	 15659	 13079	 15337	 13083
14220	 1169	 15556	 13072	 15210	 13042
14270	 1241	 15684	 12974	 15325	 13097
14830	 1270	 16207	 13403	 15959	 13754
14296	 1216	 15672	 13090	 15330	 13094
14265	 1207	 15663	 13062	 15253	 13084
14320	 1215	 15714	 13106	 15342	 13118
14341	 1251	 15748	 13037	 15407	 13175
14979	 1321	 16482	 13526	 16092	 13817
14291	 1326	 15731	 12949	 15488	 12998
14247	 1212	 15611	 13079	 15279	 13022
14166	 1230	 15561	 12877	 15207	 13021
14177	 1219	 15536	 12960	 15243	 12970
14777	 1356	 16274	 13174	 15957	 13703
14167	 1202	 15532	 12986	 15183	 12969
14161	 1239	 15541	 12852	 15237	 13016
14114	 1248	 15481	 12821	 15221	 12936
14127	 1279	 15589	 12806	 15193	 12923
14762	 1305	 16157	 13271	 15954	 13667
14116	 1263	 15539	 12785	 15189	 12954
14179	 1228	 15569	 12945	 15234	 12968
14683	 1545	 16396	 12841	 16011	 13485
14141	 1273	 15556	 12779	 15262	 12967
14341	 1211	 15786	 13407	 15265	 12906
14181	 1316	 15704	 12883	 15273	 12864
14074	 1237	 15509	 12827	 15086	 12876
14591	 1407	 16151	 12872	 15781	 13562
14072	 1248	 15508	 12785	 15111	 12885
14296	 1191	 15739	 13355	 15164	 12929
15148	 1735	 17006	 12900	 16648	 14040
14973	 1618	 16767	 12978	 16333	 13817
15098	 1771	 17035	 12901	 16617	 13842
14581	 1491	 16265	 12839	 15841	 13379
14835	 1535	 16505	 13190	 16220	 13426
14534	 1569	 16300	 12721	 15870	 13245
14478	 1518	 16195	 12801	 15773	 13143
14836	 1515	 16315	 12862	 16292	 13877
14822	 1542	 16513	 12899	 16132	 13747
14112	 1184	 13053	 13628	 16121	 13646
14489	 1400	 16099	 12867	 15641	 13349
14742	 1727	 16712	 12796	 16186	 13275
14450	 1465	 16640	 12678	 14763	 13720
13884	 1039	 15452	 12828	 14161	 13097
14729	 2222	 18435	 12836	 14451	 13194
14399	 1309	 15907	 12871	 15457	 13363
15016	 1450	 16683	 13291	 16186	 13906
14925	 1629	 16707	 12809	 16287	 13899
15200	 1795	 17189	 12844	 16666	 14102
15818	 2208	 18110	 12831	 17747	 14587
16250	 1898	 18219	 14230	 18065	 14488
15875	 2463	 19781	 14020	 16163	 13537
312552	 515147	 1204812	 16522	 15609	 13265
1827893	 2195308	 5391119	 1891480	 15725	 13250
328598	 314731	 643507	 14587	 643151	 13147
15378	 1027	 14934	 14619	 17135	 14826
15918	 1208	 17169	 14644	 17074	 14786
16529	 1232	 17828	 15437	 17673	 15180
16175	 1297	 17729	 14637	 17147	 15188
15822	 1216	 17109	 14570	 16959	 14651
15894	 1237	 17271	 14704	 16965	 14639
15827	 1249	 17162	 14553	 16969	 14627
16524	 1171	 17752	 15403	 17616	 15328
15777	 1086	 17163	 14844	 16506	 14595
15666	 1467	 17221	 13804	 16959	 14683
15555	 1491	 17126	 13605	 16875	 14614
15060	 1340	 16544	 13566	 16227	 13905
15513	 1428	 17057	 13952	 16798	 14248
14801	 1217	 16132	 13611	 15881	 13583
14958	 1340	 16384	 13579	 16194	 13678
14899	 1253	 16296	 13564	 15984	 13754
14811	 1234	 16158	 13524	 15926	 13636
15516	 1391	 17025	 13930	 16769	 14340
14919	 1447	 16479	 13284	 16236	 13677
14641	 1293	 16023	 13201	 15827	 13514
14439	 1180	 15907	 13176	 15287	 13386
14463	 1159	 15672	 13332	 15560	 13290
15171	 1226	 16476	 13983	 16310	 13916
14517	 1217	 15817	 13232	 15648	 13371
14434	 1299	 15928	 12927	 15502	 13379
22003	 1231	 23312	 20700	 23152	 20848
14066	 1242	 15378	 12821	 15226	 12841
14705	 1304	 16112	 13316	 15883	 13512
14058	 1192	 15317	 12841	 15182	 12892
13997	 1220	 15273	 12732	 15144	 12842
14599	 1272	 15936	 13207	 15788	 13467
14143	 1251	 15494	 12884	 15280	 12916
13033	 294	 13395	 12791	 13164	 12785
Total runtime = 11.9873s
total 13G
drwxr-xr-x. 2 kduwe iks    7 Aug  5 21:05 .
drwxr-xr-x. 6 kduwe iks    6 Aug  5 21:05 ..
-rw-r--r--. 1 kduwe iks 3.2G Aug  5 21:05 data.0
-rw-r--r--. 1 kduwe iks 3.2G Aug  5 21:05 data.1
-rw-r--r--. 1 kduwe iks 3.2G Aug  5 21:05 data.2
