
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
5660	 1430	 8132	 4901	 4812	 4798
4260	 1316	 6535	 3470	 3596	 3441
4084	 1048	 5897	 3435	 3503	 3503
4192	 1038	 5987	 3530	 3625	 3628
4169	 1182	 6213	 3603	 3426	 3435
4054	 1237	 6194	 3400	 3317	 3307
4077	 1223	 6196	 3387	 3352	 3373
4057	 1073	 5911	 3364	 3567	 3386
4597	 2140	 8303	 3443	 3324	 3319
5478	 1060	 7313	 4865	 4859	 4876
4363	 1177	 6388	 3886	 3582	 3599
4319	 1180	 6334	 3964	 3477	 3502
4044	 1001	 5776	 3490	 3444	 3468
4451	 1290	 6627	 4191	 3488	 3501
4229	 981	 5928	 3671	 3655	 3663
13029	 16652	 41871	 3535	 3353	 3359
4159	 962	 5817	 3636	 3717	 3467
4148	 987	 5848	 3541	 3718	 3487
4493	 918	 6078	 4009	 3938	 3950
5469	 3158	 10939	 3633	 3644	 3663
4755	 1040	 6555	 4130	 4173	 4163
4134	 1002	 5866	 3567	 3549	 3557
4032	 977	 5721	 3445	 3392	 3570
3989	 1004	 5725	 3386	 3417	 3430
4120	 1137	 6081	 3368	 3428	 3606
4096	 1022	 5857	 3387	 3533	 3610
3990	 1099	 5895	 3338	 3376	 3351
4053	 968	 5715	 3359	 3471	 3670
3891	 908	 5459	 3344	 3409	 3355
4085	 1087	 5961	 3344	 3448	 3588
3987	 1033	 5776	 3355	 3455	 3362
4212	 940	 5839	 3622	 3733	 3654
3921	 849	 5383	 3319	 3532	 3452
3984	 958	 5637	 3370	 3505	 3427
3953	 959	 5611	 3348	 3448	 3407
3927	 952	 5572	 3362	 3409	 3368
4051	 1154	 6048	 3340	 3428	 3390
4010	 916	 5585	 3341	 3555	 3562
4065	 987	 5755	 3736	 3404	 3366
4057	 1000	 5771	 3710	 3407	 3341
5273	 3088	 10615	 3735	 3407	 3337
4167	 1117	 6095	 3624	 3509	 3443
4026	 918	 5613	 3463	 3551	 3479
3894	 901	 5450	 3352	 3416	 3361
3956	 1027	 5734	 3367	 3379	 3345
4034	 983	 5714	 3338	 3739	 3345
4192	 1192	 6224	 3366	 3852	 3327
4495	 1603	 7250	 3392	 3906	 3432
4168	 1147	 6118	 3331	 3865	 3361
4208	 1382	 6600	 3401	 3421	 3413
4740	 1980	 8169	 3604	 3616	 3573
6444	 4015	 13399	 4129	 4130	 4120
4744	 1138	 6710	 4063	 4126	 4080
4058	 1160	 6066	 3373	 3404	 3390
3997	 1057	 5823	 3354	 3431	 3383
4018	 1127	 5968	 3378	 3360	 3368
4072	 1101	 5973	 3356	 3474	 3488
3994	 1077	 5858	 3370	 3371	 3379
3887	 910	 5460	 3363	 3355	 3372
3979	 1084	 5855	 3376	 3338	 3349
4200	 1460	 6728	 3378	 3354	 3341
4374	 1423	 6836	 3576	 3543	 3544
4102	 1204	 6184	 3417	 3411	 3399
4089	 1148	 6076	 3365	 3419	 3496
4000	 1084	 5875	 3352	 3380	 3395
4131	 1084	 5995	 3341	 3553	 3638
4054	 1133	 6014	 3334	 3424	 3446
4019	 1066	 5864	 3332	 3422	 3458
4036	 1155	 6038	 3386	 3341	 3379
4060	 1114	 5982	 3530	 3359	 3372
4138	 1029	 5916	 3557	 3489	 3593
4456	 1243	 6575	 3985	 3412	 3854
4075	 1050	 5889	 3405	 3423	 3584
4113	 1185	 6159	 3388	 3319	 3586
4015	 976	 5703	 3375	 3527	 3455
4077	 1114	 6005	 3374	 3456	 3474
4247	 1360	 6588	 3379	 3690	 3334
4090	 1200	 6165	 3384	 3447	 3367
3958	 1025	 5731	 3408	 3373	 3322
4088	 1071	 5940	 3471	 3380	 3561
4501	 1541	 7169	 3619	 3617	 3601
4632	 1004	 6365	 4057	 4105	 4004
4168	 1169	 6192	 3492	 3540	 3449
4099	 1193	 6166	 3380	 3435	 3415
4114	 1035	 5896	 3379	 3560	 3624
3974	 1121	 5911	 3236	 3395	 3356
3993	 1173	 6021	 3262	 3372	 3320
3984	 1133	 5943	 3261	 3377	 3357
3921	 1026	 5696	 3248	 3348	 3392
3969	 1017	 5728	 3388	 3414	 3348
3960	 1132	 5916	 3251	 3339	 3337
3872	 957	 5530	 3275	 3345	 3338
4019	 1177	 6055	 3298	 3380	 3346
4042	 1164	 6050	 3247	 3465	 3409
4138	 1092	 6024	 3369	 3601	 3558
3952	 1016	 5708	 3327	 3393	 3383
4005	 1097	 5904	 3338	 3428	 3351
4091	 1176	 6124	 3351	 3481	 3410
3939	 1007	 5680	 3338	 3364	 3377
5344	 989	 7051	 4742	 4811	 4775
Total runtime = 1.27453s
-rw-r--r--. 1 kduwe iks 53K Aug  5 18:03 /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp

# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 2048 	 2048 	 100 	 10

# Mean 	 Sdev 	 Rank 0
20523	 1978	 23945	 19550	 19315	 19282
15835	 1483	 18388	 15086	 14966	 14903
16219	 1598	 18982	 15140	 15400	 15354
15839	 1446	 18331	 14877	 15110	 15040
15693	 1303	 17940	 14742	 15080	 15010
16020	 1302	 18194	 14744	 15606	 15537
