# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
5517	115	5438	 5533	 5626	 5474
5491	132	5401	 5644	 5508	 5414
5643	157	5556	 5864	 5586	 5569
5525	116	5523	 5672	 5472	 5435
5519	159	5389	 5710	 5572	 5408
5554	174	5499	 5822	 5487	 5410
5545	159	5523	 5772	 5500	 5387
5563	131	5493	 5769	 5520	 5471
5587	128	5582	 5759	 5523	 5486
5612	135	5612	 5796	 5544	 5498
5583	108	5575	 5740	 5526	 5492
5619	144	5685	 5774	 5574	 5445
5633	104	5689	 5749	 5568	 5527
5635	107	5649	 5805	 5534	 5552
5595	116	5603	 5762	 5509	 5507
5589	115	5575	 5704	 5565	 5515
5587	114	5522	 5760	 5562	 5505
5583	131	5549	 5748	 5589	 5448
5530	107	5507	 5652	 5568	 5394
5526	106	5543	 5550	 5580	 5434
5543	139	5499	 5747	 5536	 5391
5551	189	5545	 5841	 5505	 5313
5475	183	5502	 5662	 5517	 5222
5482	161	5522	 5655	 5534	 5217
5471	116	5502	 5586	 5520	 5276
5475	112	5514	 5502	 5527	 5360
5448	50	5509	 5478	 5430	 5375
5399	129	5486	 5564	 5267	 5279
5404	96	5517	 5480	 5325	 5294
5448	117	5496	 5542	 5408	 5349
5421	87	5454	 5519	 5371	 5341
5452	156	5463	 5686	 5298	 5362
5487	121	5459	 5690	 5371	 5428
5473	127	5413	 5692	 5380	 5407
5297	313	5349	 5635	 4803	 5403
5162	413	5193	 5633	 4508	 5315
5119	458	4459	 5616	 4952	 5451
5079	472	4815	 5578	 4444	 5480
4763	356	4525	 4698	 4473	 5357
4726	380	4439	 4651	 4452	 5363
4713	362	4435	 4609	 4483	 5326
4811	401	4405	 4905	 4520	 5416
4688	311	4442	 4626	 4491	 5196
4555	124	4406	 4617	 4516	 4683
4484	134	4442	 4596	 4616	 4282
4459	145	4424	 4610	 4519	 4286
4449	116	4400	 4574	 4500	 4324
4496	113	4461	 4625	 4525	 4375
