
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
15968	 1093	 17828	 15061	 15584	 15400
15843	 1175	 17845	 15034	 15521	 14972
16883	 1992	 20178	 14860	 16413	 16083
16513	 1806	 19603	 15091	 15729	 15632
16107	 1767	 19163	 14988	 15260	 15017
16380	 1861	 19574	 15672	 15155	 15121
16021	 1481	 18583	 15214	 15021	 15266
16524	 1793	 19583	 15014	 15751	 15749
16098	 1845	 19281	 15248	 15078	 14785
16206	 1415	 18657	 15329	 15423	 15415
16381	 1554	 18975	 14835	 15851	 15863
16697	 2061	 20192	 14844	 15872	 15880
15966	 1701	 18892	 14695	 15268	 15009
16774	 1844	 19957	 15693	 15707	 15742
16574	 1682	 19475	 15635	 15632	 15557
16431	 1897	 19714	 15301	 15323	 15387
16552	 1903	 19839	 15518	 15273	 15579
16217	 1322	 18498	 15389	 15598	 15384
16294	 1026	 18059	 15705	 15718	 15696
16187	 1299	 18364	 14950	 15639	 15796
16001	 1230	 18043	 14844	 15839	 15278
16502	 1645	 19214	 16419	 15266	 15109
16167	 1265	 18348	 15407	 15470	 15445
15736	 977	 17429	 15153	 15184	 15178
16248	 1429	 18719	 15477	 15406	 15391
15588	 1294	 17797	 14644	 14808	 15106
15655	 1190	 17679	 14665	 15137	 15141
16230	 1294	 18444	 15234	 15628	 15616
16167	 1595	 18891	 14867	 15463	 15449
16570	 1914	 19707	 15017	 16517	 15041
16985	 1809	 19996	 16774	 15612	 15560
16080	 1222	 18197	 15387	 15385	 15351
16370	 1613	 19110	 15141	 15894	 15338
15850	 1547	 18482	 14778	 15379	 14764
15801	 1290	 18028	 14957	 15166	 15054
15996	 1225	 18111	 15222	 15341	 15311
16357	 1078	 18187	 15426	 15889	 15927
16273	 1293	 18479	 15232	 15679	 15704
15963	 962	 17630	 15387	 15388	 15447
16757	 1009	 18491	 16218	 16177	 16144
25586	 9893	 42052	 15626	 22337	 22329
71066	 95980	 237308	 15274	 15833	 15850
1866661	 1577098	 3433008	 3428160	 590422	 15054
15854	 1387	 18243	 15026	 15090	 15060
15512	 1305	 17750	 14701	 14944	 14656
15558	 1585	 18251	 14153	 14918	 14910
15756	 1423	 18207	 14922	 15022	 14876
15654	 1409	 18075	 14736	 15107	 14699
16112	 1424	 18536	 14949	 15507	 15459
16151	 2177	 19920	 14919	 14903	 14863
15771	 1545	 18437	 14775	 15050	 14823
15981	 1720	 18953	 14955	 15031	 14987
15913	 1565	 18623	 14982	 15102	 14945
15672	 1654	 18527	 14623	 14842	 14698
15972	 1366	 18328	 15162	 15224	 15176
15811	 1417	 18254	 14934	 15100	 14958
15582	 1514	 18191	 14738	 14918	 14481
16221	 1897	 19371	 14314	 15636	 15565
15946	 1783	 19032	 14900	 14950	 14903
15732	 1750	 18721	 14325	 14986	 14899
16143	 1608	 18868	 14752	 15504	 15451
15615	 1480	 18169	 14868	 14834	 14590
15441	 1462	 17928	 14190	 14905	 14742
20514	 9013	 36122	 14989	 15500	 15445
15689	 1575	 18386	 14451	 14975	 14946
15454	 1397	 17843	 14292	 14876	 14805
15710	 1385	 18102	 14922	 15065	 14751
15532	 1464	 18006	 14224	 15026	 14874
16050	 1533	 18691	 15117	 15262	 15133
15900	 1478	 18444	 15190	 14999	 14970
16517	 1690	 19148	 14445	 16258	 16219
16620	 1718	 19532	 15090	 15953	 15906
16130	 1747	 19148	 15081	 15169	 15124
15686	 1450	 18161	 14511	 15061	 15013
16117	 1781	 19166	 14726	 15309	 15270
16073	 1327	 18322	 14949	 15532	 15492
16021	 1385	 18369	 14769	 15489	 15457
22634	 7212	 34544	 15109	 20463	 20420
568403	 317468	 755678	 18549	 749733	 749654
Total runtime = 8.84233s
-rw-r--r--. 1 kduwe iks 53K Aug  5 18:01 /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp

# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 4096 	 4096 	 100 	 10

# Mean 	 Sdev 	 Rank 0
75842	 1471	 78315	 74918	 75220	 74918
59250	 1680	 62114	 58284	 58725	 57877
60870	 1627	 63672	 59934	 59963	 59912
59204	 1583	 61929	 58332	 58529	 58026
60245	 1772	 62906	 57942	 60092	 60041
59756	 1783	 62747	 58148	 59089	 59042
59328	 1943	 62655	 58207	 58236	 58217
60254	 1929	 63482	 59944	 58829	 58762
58961	 1774	 61926	 57262	 58367	 58290
75045	 2209	 78772	 73188	 74119	 74104
59565	 1992	 62978	 57944	 58719	 58619
60824	 2206	 64315	 58261	 60514	 60208
60131	 1737	 62840	 58072	 59956	 59658
58776	 1753	 61788	 57526	 57921	 57870
60419	 2466	 64634	 59609	 58729	 58705
58504	 1870	 61645	 56708	 57868	 57795
60341	 2001	 63549	 60444	 58743	 58630
59672	 1286	 61895	 59074	 58876	 58843
61184	 1852	 64286	 59387	 60425	 60638
