
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
11621	 1160	 13533	 10512	 10943	 11497
11251	 1201	 13302	 10469	 10874	 10360
9572	 1145	 11550	 8862	 9059	 8817
9844	 1367	 12209	 9118	 9035	 9015
10106	 2328	 14136	 8748	 8760	 8782
9497	 1115	 11423	 8772	 9003	 8790
9612	 1135	 11572	 8956	 8938	 8984
9455	 1139	 11416	 8668	 8881	 8857
9585	 986	 11277	 8820	 9129	 9115
11190	 1069	 13030	 10468	 10645	 10619
9562	 1063	 11403	 8902	 9009	 8934
9600	 1099	 11504	 8966	 8982	 8948
9220	 986	 10927	 8588	 8658	 8707
9940	 1458	 12425	 8714	 9319	 9304
9472	 1121	 11389	 8577	 8947	 8977
9546	 1131	 11481	 8655	 9130	 8919
9742	 1093	 11624	 9020	 9280	 9045
9915	 1046	 11715	 9363	 9342	 9243
9718	 1067	 11555	 9109	 9088	 9123
9408	 996	 11102	 8618	 8872	 9043
9538	 1172	 11541	 8707	 9126	 8781
9863	 1099	 11751	 9178	 9363	 9163
9476	 1067	 11312	 8737	 9033	 8823
9741	 1147	 11721	 9046	 9050	 9149
9413	 1190	 11472	 8693	 8749	 8739
9446	 1043	 11244	 8896	 8774	 8872
9506	 1102	 11411	 8874	 8810	 8930
9478	 1266	 11671	 8708	 8771	 8762
10304	 2151	 14030	 9012	 9057	 9117
9149	 926	 10741	 8598	 8587	 8673
9289	 1041	 11088	 8745	 8615	 8709
10103	 1830	 13274	 9071	 9008	 9059
9659	 1734	 12663	 8638	 8607	 8728
9580	 1150	 11561	 8752	 8962	 9046
9515	 1439	 11992	 8863	 8550	 8658
9363	 1085	 11228	 8877	 8581	 8768
9508	 962	 11175	 8954	 8942	 8961
12486	 6290	 23378	 9039	 8812	 8718
9756	 1127	 11698	 9017	 9050	 9260
9707	 1058	 11524	 8898	 9106	 9300
9570	 1071	 11375	 8647	 8992	 9269
9383	 1234	 11504	 8895	 8462	 8671
9479	 1152	 11459	 8883	 8968	 8607
9732	 1202	 11810	 9108	 9055	 8956
9688	 1612	 12475	 8937	 8686	 8654
10010	 2404	 14170	 8601	 8663	 8609
9677	 1544	 12346	 8933	 8721	 8709
9263	 1033	 11049	 8726	 8636	 8642
9419	 1074	 11277	 8802	 8821	 8777
9344	 1276	 11546	 8673	 8593	 8567
9573	 1050	 11391	 8894	 9018	 8989
9399	 1218	 11489	 8928	 8579	 8602
10246	 2614	 14760	 9054	 8594	 8577
9928	 1299	 12129	 8801	 9508	 9276
9652	 1232	 11754	 8655	 9196	 9005
9709	 1149	 11660	 8737	 9309	 9132
9756	 1109	 11629	 8831	 9498	 9067
9748	 1156	 11698	 8743	 9494	 9057
9960	 1218	 12019	 8968	 9637	 9219
9867	 1172	 11780	 8632	 9712	 9345
9853	 1177	 11790	 8637	 9625	 9361
9823	 1269	 11921	 8543	 9553	 9277
10000	 1189	 11971	 8828	 9744	 9459
10474	 1961	 13798	 8740	 9790	 9570
9515	 1131	 11429	 8527	 9146	 8960
9433	 992	 11138	 8714	 9021	 8860
9381	 969	 11032	 8580	 9037	 8876
9457	 1100	 11332	 8591	 9034	 8874
9758	 1427	 12223	 8833	 9071	 8906
9743	 1445	 12239	 8908	 8997	 8830
9938	 1903	 13230	 8700	 8986	 8836
9437	 957	 11080	 8878	 9022	 8770
10442	 2421	 14617	 8932	 9403	 8817
10218	 1590	 12870	 8943	 10005	 9057
9721	 1410	 12127	 8684	 9313	 8760
9605	 1404	 12013	 8547	 9055	 8807
9582	 1229	 11696	 8728	 9084	 8821
9632	 1410	 12060	 8651	 9016	 8803
10139	 1295	 12372	 9458	 9405	 9324
10682	 1118	 12607	 10068	 10045	 10011
10095	 907	 11659	 9668	 9534	 9520
9700	 1056	 11522	 9114	 9077	 9089
9749	 1170	 11765	 8977	 9192	 9064
9816	 1056	 11628	 9111	 9397	 9130
9882	 1063	 11707	 9188	 9417	 9219
9641	 1091	 11524	 9114	 8998	 8929
9614	 1224	 11724	 8981	 8897	 8857
9557	 1133	 11508	 8862	 9080	 8779
9793	 1402	 12199	 8698	 9199	 9077
9582	 1359	 11934	 8892	 8764	 8738
10163	 1157	 12160	 9562	 9494	 9438
9416	 1205	 11495	 8751	 8726	 8695
9844	 1647	 12680	 8821	 9132	 8746
9677	 1242	 11822	 9015	 9022	 8850
9607	 1172	 11608	 9197	 8888	 8738
10068	 1876	 13311	 9185	 8829	 8947
10136	 1152	 12117	 9577	 9276	 9575
9634	 1080	 11490	 8850	 8968	 9228
9726	 1108	 11636	 9171	 8986	 9113
11309	 967	 12982	 10823	 10690	 10741
Total runtime = 2.2816s
-rw-r--r--. 1 kduwe iks 94K Aug 14 21:13 /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp

# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 2048 	 2048 	 100 	 10

# Mean 	 Sdev 	 Rank 0
44473	 1227	 46580	 43844	 43650	 43819
36983	 3281	 42518	 35478	 35949	 33989
36069	 1686	 38926	 35053	 35640	 34657
36022	 1502	 38620	 35027	 35188	 35253
35204	 1259	 37361	 34455	 34538	 34464
