# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
2463	103	2451	 2615	 2385	 2403
1013	69	1100	 940	 1013	 1002
897	50	921	 843	 931	 896
863	30	875	 829	 861	 888
838	56	881	 779	 813	 882
834	50	877	 771	 809	 880
825	41	852	 771	 800	 877
819	51	813	 777	 808	 881
818	35	816	 771	 813	 872
818	43	816	 775	 803	 879
821	40	817	 785	 793	 889
810	59	820	 750	 791	 882
811	58	824	 748	 796	 879
803	48	802	 750	 788	 873
801	58	798	 747	 786	 876
806	51	798	 757	 786	 884
810	55	803	 760	 800	 880
806	48	793	 762	 790	 880
817	40	796	 797	 797	 879
801	56	789	 753	 790	 875
800	62	790	 743	 786	 884
805	59	793	 739	 787	 901
802	48	801	 750	 787	 871
801	52	784	 747	 786	 887
795	59	781	 745	 782	 875
814	65	768	 740	 858	 891
800	54	789	 747	 790	 876
791	53	776	 736	 791	 863
796	55	783	 741	 788	 874
794	61	772	 739	 790	 878
805	66	800	 726	 793	 902
796	50	784	 738	 786	 876
787	53	786	 719	 775	 868
783	54	769	 720	 772	 871
787	51	775	 735	 774	 865
786	57	768	 727	 785	 866
792	63	776	 734	 782	 879
805	61	784	 743	 786	 907
944	119	906	 1105	 783	 983
791	56	771	 735	 791	 869
785	59	770	 719	 778	 874
777	57	771	 720	 761	 858
774	58	767	 712	 773	 847
778	73	747	 715	 760	 892
791	71	771	 724	 779	 893
779	67	756	 716	 772	 875
783	68	775	 717	 763	 880
788	54	774	 723	 780	 875
785	46	776	 724	 785	 855
781	66	758	 719	 776	 874
787	63	765	 735	 775	 876
782	65	765	 719	 767	 879
797	93	751	 709	 774	 954
790	86	773	 711	 757	 922
782	74	766	 713	 760	 892
785	72	757	 720	 762	 902
803	94	755	 737	 769	 954
786	50	764	 730	 782	 868
803	60	770	 720	 860	 862
771	61	751	 712	 761	 862
774	56	754	 710	 767	 865
773	62	747	 709	 767	 870
774	51	759	 715	 765	 857
773	63	762	 711	 763	 859
780	64	755	 710	 799	 859
775	64	748	 712	 772	 870
771	59	752	 710	 761	 862
770	59	752	 713	 760	 857
777	60	766	 714	 777	 854
827	98	762	 718	 975	 853
779	52	759	 729	 761	 867
767	57	757	 710	 754	 849
765	49	745	 715	 752	 848
764	60	748	 720	 742	 849
762	58	756	 712	 734	 848
773	55	770	 713	 754	 856
768	57	762	 715	 739	 857
776	65	750	 721	 746	 887
768	60	770	 713	 737	 854
763	54	748	 715	 742	 848
767	50	763	 719	 736	 850
758	63	745	 711	 730	 849
766	61	749	 712	 740	 864
765	61	760	 714	 740	 849
766	71	746	 715	 731	 875
764	60	759	 713	 733	 853
826	118	747	 711	 840	 1008
885	110	768	 876	 831	 1065
821	63	769	 781	 822	 914
857	98	755	 802	 1011	 861
848	54	930	 794	 802	 866
833	51	894	 786	 787	 866
808	50	755	 780	 822	 876
816	62	752	 779	 868	 868
800	43	781	 792	 772	 857
786	54	754	 785	 751	 857
780	52	753	 780	 737	 852
774	52	767	 721	 747	 861
761	56	747	 710	 731	 856
764	50	764	 716	 730	 846
814	53	802	 868	 739	 848
Total runtime = 0.120149s

# --- Read time in mikroseconds ---
# MPI_Comm_size: 4
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp3_sync.xml
# inputOutput: /home/urz/kduwe/ht-output/heat-bp3-4nodes.bp
# analysisOutput: /home/urz/kduwe/ht-output/heat-bp3-analysis-output.bp
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 2048 	 2048 	 100 	 10

# Mean 	 Sdev 	 Rank 0
7476	201	7220	 7725	 7610	 7349
4070	240	3869	 4406	 3854	 4154
3818	120	3695	 3963	 3704	 3910
3769	133	3653	 3921	 3655	 3849
3708	109	3597	 3794	 3620	 3822
3696	126	3610	 3609	 3652	 3913
3668	107	3578	 3621	 3661	 3814
3632	120	3582	 3514	 3617	 3816
3677	106	3729	 3575	 3593	 3812
3649	134	3602	 3542	 3618	 3837
3634	99	3580	 3547	 3606	 3803
3666	139	3475	 3751	 3637	 3803
3672	127	3574	 3749	 3552	 3815
3698	187	3524	 3836	 3523	 3911
3696	164	3498	 3765	 3606	 3916
3647	138	3494	 3691	 3565	 3839
3682	146	3504	 3736	 3643	 3848
3715	124	3595	 3848	 3604	 3814
3656	183	3461	 3817	 3519	 3830
3661	125	3584	 3731	 3503	 3826
3642	140	3538	 3736	 3486	 3809
3635	143	3547	 3658	 3489	 3847
3645	140	3538	 3677	 3504	 3861
3676	148	3463	 3729	 3640	 3872
3634	174	3477	 3681	 3497	 3883
3621	176	3454	 3687	 3482	 3863
3670	187	3545	 3701	 3498	 3939
3686	239	3440	 3815	 3491	 4000
3662	225	3445	 3761	 3481	 3964
3669	227	3439	 3836	 3477	 3927
3683	203	3471	 3777	 3522	 3963
4502	1446	3570	 6990	 3508	 3941
3943	234	3800	 3673	 4007	 4292
3606	218	3467	 3484	 3514	 3962
3577	162	3490	 3466	 3495	 3857
3600	172	3554	 3496	 3485	 3868
3592	156	3458	 3561	 3494	 3855
3571	150	3485	 3466	 3503	 3830
4083	682	3448	 5119	 3507	 4261
3528	172	3427	 3397	 3476	 3813
3525	186	3416	 3383	 3476	 3827
3582	189	3511	 3403	 3524	 3891
3556	190	3488	 3384	 3483	 3870
