 
# Runtime = 1
# Iteration = 0
Name                            Duration (Operations/s) (Throughput/s) [Total Duration] {min/mean/max/var} quantiles;0.990000;0.900000;0.100000;0.010000;
---------------------------------------------------------------------------------------------------------------------------------------------------------
/kv/unordered-put-delete-batch: 1.364 seconds (4398/s) [1.364 seconds] {0.453793/0.454734/0.456052/0.000960} 0.456052;0.456052;0.453793;0.453793;
# Iteration = 4
Name                            Duration (Operations/s) (Throughput/s) [Total Duration] {min/mean/max/var} quantiles;0.990000;0.900000;0.100000;0.010000;
---------------------------------------------------------------------------------------------------------------------------------------------------------
/kv/put:                        1.197 seconds (4176/s) [2.393 seconds] {0.000153/0.000239/0.003204/0.000083} 0.000391;0.000344;0.000171;0.000159;
/kv/put-batch:                  1.180 seconds (4236/s) [2.386 seconds] {0.235216/0.236056/0.236602/0.000572} 0.236602;0.236602;0.235216;0.235216;
/kv/get:                        1.002 seconds (73871/s) [1.485 seconds] {0.000012/0.000014/0.000216/0.000003} 0.000017;0.000014;0.000013;0.000013;
/kv/get-batch:                  1.007 seconds (77494/s) [1.468 seconds] {0.012822/0.012904/0.013153/0.000053} 0.013153;0.012948;0.012837;0.012822;
/kv/delete:                     1.208 seconds (4140/s) [2.392 seconds] {0.000153/0.000242/0.000503/0.000069} 0.000386;0.000346;0.000177;0.000159;
/kv/delete-batch:               1.201 seconds (4163/s) [2.387 seconds] {0.239284/0.240237/0.240881/0.000586} 0.240881;0.240881;0.239284;0.239284;
/kv/unordered-put-delete:       1.369 seconds (4384/s) [1.369 seconds] {0.000383/0.000456/0.000618/0.000052} 0.000566;0.000509;0.000397;0.000392;
/kv/unordered-put-delete-batch: 1.364 seconds (4398/s) [1.364 seconds] {0.454411/0.454757/0.455097/0.000280} 0.455097;0.455097;0.454411;0.454411;
# Iteration = 5
Name                            Duration (Operations/s) (Throughput/s) [Total Duration] {min/mean/max/var} quantiles;0.990000;0.900000;0.100000;0.010000;
---------------------------------------------------------------------------------------------------------------------------------------------------------
/kv/put:                        1.196 seconds (4180/s) [2.391 seconds] {0.000153/0.000239/0.003305/0.000084} 0.000389;0.000344;0.000172;0.000159;
/kv/put-batch:                  1.187 seconds (4213/s) [2.378 seconds] {0.232212/0.237365/0.245154/0.004341} 0.245154;0.245154;0.232212;0.232212;
/kv/get:                        1.008 seconds (74439/s) [1.488 seconds] {0.000012/0.000013/0.000218/0.000003} 0.000017;0.000014;0.000013;0.000013;
/kv/get-batch:                  1.003 seconds (77765/s) [1.480 seconds] {0.012784/0.012859/0.013035/0.000035} 0.013035;0.012887;0.012820;0.012784;
/kv/delete:                     1.203 seconds (4158/s) [2.383 seconds] {0.000155/0.000241/0.000503/0.000069} 0.000387;0.000345;0.000177;0.000160;
/kv/delete-batch:               1.197 seconds (4178/s) [2.377 seconds] {0.238652/0.239372/0.240217/0.000566} 0.240217;0.240217;0.238652;0.238652;
/kv/unordered-put-delete:       1.368 seconds (4386/s) [1.368 seconds] {0.000384/0.000456/0.000639/0.000053} 0.000572;0.000511;0.000396;0.000392;
/kv/unordered-put-delete-batch: 1.370 seconds (4379/s) [1.370 seconds] {0.454618/0.456762/0.457880/0.001516} 0.457880;0.457880;0.454618;0.454618;
# Iteration = 6
