# --- QueryAdios time in mikroseconds ---
# MPI_Comm_size: 1
# N 	 M 	 nx 	 ny 	 steps 	 iterations
12 	 8 	 1024 	 1024 	 100 	 10
# Iteration = 1

# Read 	 Compute 	 Analysis
6559 	 6559 	 6559
118371896 	 118371896 	 118371896
4660 	 4660 	 4660
228509218 	 228509218 	 228509218
Total runtime = 346.898s

# Iteration = 2

# Read 	 Compute 	 Analysis
6103 	 6103 	 6103
16727961 	 16727961 	 16727961
5289 	 5289 	 5289
227572635 	 227572635 	 227572635
Total runtime = 244.317s

# Iteration = 3

# Read 	 Compute 	 Analysis
6461 	 6461 	 6461
16049274 	 16049274 	 16049274
5290 	 5290 	 5290
227945671 	 227945671 	 227945671
Total runtime = 244.012s

# Iteration = 4

# Read 	 Compute 	 Analysis
6130 	 6130 	 6130
15936885 	 15936885 	 15936885
5669 	 5669 	 5669
228088352 	 228088352 	 228088352
Total runtime = 244.042s

# Iteration = 5

# Read 	 Compute 	 Analysis
6116 	 6116 	 6116
15932713 	 15932713 	 15932713
5254 	 5254 	 5254
228157439 	 228157439 	 228157439
Total runtime = 244.107s

# Iteration = 6

# Read 	 Compute 	 Analysis
6258 	 6258 	 6258
15405203 	 15405203 	 15405203
5785 	 5785 	 5785
227353702 	 227353702 	 227353702
Total runtime = 242.776s

# Iteration = 7

# Read 	 Compute 	 Analysis
6421 	 6421 	 6421
15949683 	 15949683 	 15949683
4989 	 4989 	 4989
227863437 	 227863437 	 227863437
Total runtime = 243.83s

# Iteration = 8

# Read 	 Compute 	 Analysis
6480 	 6480 	 6480
15449492 	 15449492 	 15449492
5595 	 5595 	 5595
227398272 	 227398272 	 227398272
Total runtime = 242.865s

# Iteration = 9

# Read 	 Compute 	 Analysis
6262 	 6262 	 6262
16032619 	 16032619 	 16032619
5285 	 5285 	 5285
227682824 	 227682824 	 227682824
Total runtime = 243.732s

# Iteration = 10

# Read 	 Compute 	 Analysis
6313 	 6313 	 6313
15952838 	 15952838 	 15952838
5702 	 5702 	 5702
227908535 	 227908535 	 227908535
Total runtime = 243.879s

# File Size:
total 152G
drwxr-xr-x. 2 kduwe iks    7 Aug 18 02:34 .
