
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
10913	 257	 11271	 10981	 10802	 10599
8746	 218	 9008	 8872	 8636	 8469
8631	 103	 8758	 8694	 8584	 8488
8982	 99	 8966	 9030	 8985	 8949
8709	 164	 8937	 8688	 8615	 8598
8667	 21	 8680	 8646	 8696	 8646
9164	 122	 9134	 9170	 9135	 9220
8897	 40	 8880	 8874	 8867	 8967
9220	 118	 9135	 9172	 9265	 9310
8843	 367	 9020	 8696	 9296	 8363
8961	 106	 8839	 8965	 8967	 9074
8892	 64	 8819	 8875	 8878	 8996
8918	 87	 8844	 8897	 8932	 9000
9699	 81	 9668	 9709	 9656	 9764
77513	 39489	 145909	 54606	 54798	 54741
10166	 88	 10223	 10204	 10151	 10087
8816	 85	 8834	 8854	 8723	 8854
8710	 62	 8766	 8743	 8605	 8726
8965	 101	 8913	 8898	 8957	 9093
8804	 83	 8790	 8877	 8734	 8816
9176	 209	 8920	 9129	 9275	 9383
9026	 93	 8945	 9014	 9020	 9126
8716	 35	 8680	 8745	 8682	 8757
8770	 107	 8740	 8733	 8749	 8860
8756	 100	 8717	 8791	 8724	 8794
9041	 93	 8998	 8992	 9023	 9152
8882	 213	 9163	 8758	 8911	 8699
8854	 118	 8930	 8806	 8963	 8718
8727	 101	 8693	 8793	 8718	 8706
8584	 96	 8554	 8595	 8624	 8565
8703	 73	 8659	 8748	 8705	 8701
8706	 229	 8917	 8425	 8926	 8557
8809	 177	 8978	 8510	 8876	 8872
8826	 156	 8952	 8559	 8918	 8875
8658	 107	 8718	 8574	 8690	 8652
8724	 87	 8755	 8624	 8755	 8763
9006	 148	 8881	 8904	 9124	 9117
8698	 177	 8812	 8525	 8608	 8850
8891	 194	 9129	 9022	 8639	 8774
8796	 127	 8944	 8902	 8677	 8661
8862	 205	 9088	 8967	 8715	 8681
9524	 336	 9380	 10093	 9322	 9302
13239	 68	 13298	 13274	 13122	 13262
9069	 6	 9077	 9059	 9068	 9072
8699	 96	 8700	 8678	 8737	 8683
8773	 138	 8721	 8702	 8899	 8773
9078	 141	 8972	 8949	 9250	 9142
8862	 217	 9130	 8664	 8937	 8720
8771	 99	 8712	 8707	 8775	 8891
8673	 121	 8661	 8645	 8643	 8746
8606	 123	 8688	 8593	 8565	 8581
8618	 122	 8695	 8575	 8586	 8619
8975	 348	 9274	 9006	 9223	 8397
8548	 174	 8736	 8609	 8406	 8444
8553	 121	 8732	 8596	 8456	 8428
8619	 113	 8726	 8565	 8618	 8569
8476	 50	 8536	 8490	 8397	 8481
8729	 122	 8751	 8654	 8744	 8770
8745	 276	 8953	 8412	 8557	 9059
8604	 81	 8647	 8572	 8655	 8543
8902	 160	 9076	 8927	 8895	 8712
8753	 135	 8900	 8750	 8742	 8622
9002	 204	 9256	 9116	 8863	 8774
9561	 361	 9934	 9843	 9445	 9022
8981	 53	 8953	 8933	 9072	 8966
8969	 92	 8940	 8917	 9078	 8942
8743	 137	 8700	 8662	 8866	 8747
8705	 141	 8656	 8615	 8834	 8718
8948	 152	 8739	 8893	 9155	 9005
8775	 58	 8741	 8697	 8843	 8819
8812	 74	 8771	 8734	 8812	 8931
8791	 106	 8760	 8743	 8791	 8872
8810	 101	 8746	 8724	 8873	 8898
9151	 110	 9123	 9094	 9243	 9146
8550	 155	 8651	 8351	 8537	 8663
8672	 79	 8647	 8611	 8711	 8720
8661	 80	 8653	 8608	 8736	 8648
8591	 166	 8722	 8334	 8690	 8619
8599	 160	 8636	 8409	 8706	 8648
8725	 161	 8701	 8582	 8969	 8649
8630	 201	 8774	 8328	 8753	 8667
8605	 146	 8682	 8384	 8719	 8636
8507	 142	 8570	 8333	 8619	 8508
8532	 139	 8604	 8352	 8593	 8581
8878	 60	 8901	 8789	 8957	 8865
8741	 166	 8817	 8502	 8691	 8954
9104	 86	 9080	 9060	 9197	 9080
8824	 125	 8812	 8672	 8971	 8842
8791	 226	 9034	 8535	 8597	 8998
8801	 144	 8863	 8586	 8924	 8832
8721	 138	 8790	 8576	 8842	 8678
8705	 57	 8772	 8632	 8748	 8668
8568	 32	 8596	 8540	 8532	 8604
8592	 94	 8692	 8500	 8590	 8587
8623	 97	 8620	 8606	 8596	 8672
8962	 132	 8892	 8971	 9061	 8927
8571	 188	 8623	 8318	 8636	 8710
8517	 31	 8545	 8471	 8504	 8548
8507	 120	 8554	 8439	 8521	 8517
8583	 124	 8605	 8501	 8641	 8588
Total runtime = 2.20266s
# File Size:
total 6.4G
drwxr-xr-x. 2 kduwe iks    7 Aug 18 02:24 .
drwxr-xr-x. 3 kduwe iks    1 Aug 18 02:24 ..
-rw-r--r--. 1 kduwe iks 1.6G Aug 18 02:24 data.0
-rw-r--r--. 1 kduwe iks 1.6G Aug 18 02:24 data.1
-rw-r--r--. 1 kduwe iks 1.6G Aug 18 02:24 data.2
-rw-r--r--. 1 kduwe iks 1.6G Aug 18 02:24 data.3
-rw-r--r--. 1 kduwe iks 104K Aug 18 02:24 md.0
-rw-r--r--. 1 kduwe iks 6.4K Aug 18 02:24 md.idx
-rw-r--r--. 1 kduwe iks 1.4K Aug 18 02:24 profiling.json

# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# MPI_Comm_size: 4
