
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
68360	 1602	 71071	 67646	 67085	 67640
91177	 12681	 100966	 69382	 97277	 97085
115635	 1719	 118547	 114230	 114858	 114906
66689	 5474	 76165	 63363	 63860	 63368
178647	 70773	 250914	 247908	 107926	 107843
84651	 6232	 90349	 74127	 87003	 87128
74401	 2298	 78092	 74025	 73671	 71817
63577	 1790	 66677	 62613	 62482	 62536
75601	 5779	 81056	 65888	 77765	 77698
83551	 6968	 92090	 76818	 88733	 76565
76854	 7065	 85613	 70212	 81974	 69619
152108	 81638	 235487	 70182	 231986	 70779
70432	 3599	 75109	 65015	 70951	 70655
106374	 1571	 109037	 105490	 105528	 105443
83365	 1164	 85287	 82741	 82749	 82686
65348	 6206	 73498	 59290	 69228	 59378
90967	 7023	 97342	 79074	 93862	 93590
159423	 65316	 226611	 222838	 94210	 94036
92837	 1575	 95529	 91984	 91724	 92112
270972	 1564	 273680	 269978	 270143	 270087
84234	 1497	 86707	 83372	 83825	 83035
78053	 1922	 80967	 75624	 77571	 78051
84573	 1659	 87235	 82822	 84349	 83888
82705	 1965	 85927	 82412	 81564	 80920
76777	 2111	 80289	 76492	 75330	 74998
77053	 5188	 83692	 80541	 71947	 72033
83431	 1676	 86276	 82198	 82580	 82672
88353	 5996	 95761	 92713	 82804	 82137
81572	 1613	 84321	 80744	 80605	 80620
92136	 7709	 101396	 84277	 98110	 84762
79644	 7268	 88620	 72501	 84963	 72494
83934	 1677	 86764	 82762	 83062	 83151
77664	 1730	 80574	 76143	 77315	 76624
71207	 1544	 73815	 70518	 70294	 70204
63433	 3202	 68230	 64456	 60664	 60382
97081	 1603	 99805	 96202	 96206	 96113
71488	 5877	 77850	 73519	 72677	 61909
58286	 1699	 61175	 57347	 57517	 57108
267160	 1733	 270161	 266136	 266228	 266115
78606	 2271	 82451	 76802	 77910	 77263
266821	 1477	 269210	 265861	 266194	 266021
76664	 4808	 82825	 79638	 73429	 70767
71178	 2849	 75689	 68656	 71559	 68808
239565	 1414	 241937	 238694	 238885	 238745
91898	 6853	 100495	 96750	 85143	 85204
270370	 17248	 300244	 260408	 260259	 260569
74106	 1718	 77047	 73286	 73262	 72830
91714	 7292	 97978	 79285	 94843	 94750
70988	 4443	 76729	 69556	 72998	 64669
90060	 5227	 95305	 81372	 91745	 91820
74583	 1875	 77741	 73985	 73424	 73185
236712	 1436	 238958	 235957	 236208	 235728
224185	 1790	 227118	 223184	 223152	 223289
68590	 3037	 73768	 67729	 66572	 66291
85176	 1416	 87602	 84386	 84437	 84280
84131	 12533	 97767	 95502	 71319	 71938
68503	 1682	 71352	 67412	 67439	 67812
82329	 1327	 84545	 81516	 81627	 81631
102368	 11479	 115417	 112155	 91230	 90671
78126	 1317	 80295	 77409	 77077	 77726
83465	 3890	 88582	 85893	 79689	 79696
152127	 82893	 236610	 233416	 69159	 69323
68047	 4101	 72809	 69247	 68629	 61503
76287	 9605	 86965	 71145	 83843	 63196
74973	 1946	 78310	 73764	 73906	 73914
65311	 2656	 68898	 61415	 65499	 65433
86415	 1475	 88918	 85562	 85653	 85529
106680	 2747	 110647	 104162	 107779	 104134
81371	 5988	 88636	 75976	 85885	 74990
77168	 7261	 84527	 77687	 81137	 65324
78856	 1374	 81154	 78136	 78224	 77913
93476	 1625	 96208	 92521	 92766	 92412
87635	 1865	 90801	 86572	 86709	 86461
71270	 1578	 73940	 70445	 70209	 70489
70716	 1422	 73114	 69827	 69948	 69978
80334	 1501	 82884	 79356	 79591	 79507
70847	 7453	 79616	 64333	 76789	 62653
75747	 1700	 78580	 74191	 75167	 75052
74099	 1456	 76563	 73044	 73305	 73486
82373	 6605	 90898	 75664	 86697	 76236
82098	 2855	 86406	 78503	 81140	 82344
83869	 1395	 86266	 83072	 83324	 82814
94982	 1713	 97717	 93422	 95012	 93779
74361	 3122	 79709	 71978	 73005	 72754
74590	 2336	 78523	 72441	 73761	 73636
104133	 1178	 106134	 103515	 103497	 103387
61627	 4073	 67134	 63915	 57925	 57537
209136	 65688	 249677	 95397	 245738	 245734
74527	 2122	 78154	 73386	 73402	 73169
79871	 5601	 87896	 75466	 82226	 73899
87389	 2758	 91110	 88040	 86952	 83457
115049	 7253	 126524	 113530	 113711	 106433
98843	 11610	 118942	 92148	 92152	 92133
107114	 10926	 126038	 100686	 100761	 100971
76578	 2438	 79936	 73104	 76896	 76378
88136	 887	 89570	 87474	 87804	 87698
96383	 7160	 102484	 84170	 99512	 99366
79021	 3989	 83295	 72510	 80434	 79847
149761	 88412	 240067	 61322	 236260	 61395
91485	 10782	 103835	 80785	 100577	 80743
Total runtime = 12.1325s
total 6.4G
drwxr-xr-x. 2 kduwe iks    7 Aug 14 23:11 .
drwxr-xr-x. 8 kduwe iks    8 Aug  5 21:58 ..
-rw-r--r--. 1 kduwe iks 1.6G Aug 14 23:11 data.0
-rw-r--r--. 1 kduwe iks 1.6G Aug 14 23:11 data.1
-rw-r--r--. 1 kduwe iks 1.6G Aug 14 23:11 data.2
-rw-r--r--. 1 kduwe iks 1.6G Aug 14 23:11 data.3
-rw-r--r--. 1 kduwe iks 104K Aug 14 23:11 md.0
-rw-r--r--. 1 kduwe iks 6.4K Aug 14 23:11 md.idx
-rw-r--r--. 1 kduwe iks 1.4K Aug 14 23:11 profiling.json

# --- Write time in mikroseconds ---
